feature_set,model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
combined,mlp,0.37573715248525696,0.31064055480428804,0.37512467256214277,0.32026824517426816,0.31156904944324315
combined,rf,0.4043807919123842,0.27740762139872005,0.3722330063580055,0.38149007209389,0.2700297738313321
combined,logreg_en,0.2430497051390059,0.20006339588430883,0.2502909022742404,0.19843536018730437,0.3071740176995695
combined,hgb,0.2708508845829823,0.18124672105042966,0.28604430606807946,0.1920355257506678,0.20213116471036288
combined,linear_svm,0.21061499578770007,0.14621289227376227,0.19392927828260878,0.17786057600135446,0.2706782075183129
profiles_only,mlp,0.37615838247683236,0.321430697257021,0.3735783532583567,0.3353721089946871,0.3179945787293435
profiles_only,rf,0.40206402695871946,0.27629753647491334,0.3709313263886845,0.3730914142402709,0.26962463553291743
profiles_only,logreg_en,0.2430497051390059,0.20006339588430883,0.2502909022742404,0.19843536018730437,0.3071740176995695
profiles_only,hgb,0.2657961246840775,0.1737186886520119,0.28199009133335506,0.1863966586885692,0.19924291640263872
profiles_only,linear_svm,0.21061499578770007,0.14621289227376227,0.19392927828260878,0.17786057600135446,0.2706782075183129
